 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
1989-03-11 05:00:00.000 070       337.00    146.00   -189.00    -21.00
1989-03-11 06:00:00.000 070       208.00    144.00    -63.00     40.00
1989-03-11 07:00:00.000 070       263.00    134.00   -128.00      2.00
1989-03-11 08:00:00.000 070       248.00    144.00   -103.00     20.00
1989-03-11 09:00:00.000 070       236.00    101.00   -134.00    -16.00
1989-03-11 10:00:00.000 070       258.00    124.00   -134.00     -5.00
1989-03-11 11:00:00.000 070       382.00     91.00   -290.00    -99.00
1989-03-11 12:00:00.000 070       445.00    136.00   -308.00    -85.00
1989-03-11 13:00:00.000 070       411.00    106.00   -305.00    -98.00
1989-03-11 14:00:00.000 070       196.00     87.00   -108.00    -10.00
1989-03-11 15:00:00.000 070       133.00     59.00    -73.00     -7.00
1989-03-11 16:00:00.000 070       180.00     99.00    -80.00      9.00
1989-03-11 17:00:00.000 070       251.00    135.00   -115.00      9.00
1989-03-11 18:00:00.000 070       426.00    192.00   -232.00    -19.00
1989-03-11 19:00:00.000 070       556.00    267.00   -288.00    -10.00
1989-03-11 20:00:00.000 070       678.00    224.00   -452.00   -113.00
1989-03-11 21:00:00.000 070       608.00    291.00   -316.00    -12.00
1989-03-11 22:00:00.000 070       449.00    254.00   -195.00     28.00
1989-03-11 23:00:00.000 070       677.00    201.00   -474.00   -135.00
1989-03-12 00:00:00.000 071       375.00     93.00   -281.00    -93.00
1989-03-12 01:00:00.000 071       451.00     85.00   -365.00   -139.00
1989-03-12 02:00:00.000 071       154.00    125.00    -27.00     48.00
1989-03-12 03:00:00.000 071       113.00     95.00    -17.00     38.00
1989-03-12 04:00:00.000 071       107.00     89.00    -17.00     35.00
1989-03-12 05:00:00.000 071        94.00     84.00     -9.00     37.00
1989-03-12 06:00:00.000 071       183.00    151.00    -31.00     59.00
1989-03-12 07:00:00.000 071       138.00    116.00    -21.00     46.00
1989-03-12 08:00:00.000 071       205.00    155.00    -48.00     53.00
1989-03-12 09:00:00.000 071       256.00    167.00    -88.00     39.00
