 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           Equatorial Dst index                         |
 IAGA CODE              DST                                          |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               H                                            |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Final                                        |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2025-07-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     DST                                  |
1958-02-17 17:00:00.000 048       -36.00
1958-02-17 18:00:00.000 048       -41.00
1958-02-17 19:00:00.000 048       -41.00
1958-02-17 20:00:00.000 048       -35.00
1958-02-17 21:00:00.000 048       -35.00
1958-02-17 22:00:00.000 048       -25.00
1958-02-17 23:00:00.000 048       -19.00
1958-02-18 00:00:00.000 049       -20.00
1958-02-18 01:00:00.000 049       -19.00
1958-02-18 02:00:00.000 049       -24.00
1958-02-18 03:00:00.000 049       -33.00
1958-02-18 04:00:00.000 049       -31.00
1958-02-18 05:00:00.000 049       -28.00
1958-02-18 06:00:00.000 049       -27.00
1958-02-18 07:00:00.000 049       -34.00
1958-02-18 08:00:00.000 049       -36.00
1958-02-18 09:00:00.000 049       -33.00
1958-02-18 10:00:00.000 049       -35.00
1958-02-18 11:00:00.000 049       -35.00
1958-02-18 12:00:00.000 049       -34.00
1958-02-18 13:00:00.000 049       -31.00
1958-02-18 14:00:00.000 049       -30.00
1958-02-18 15:00:00.000 049       -32.00
1958-02-18 16:00:00.000 049       -36.00
1958-02-18 17:00:00.000 049       -40.00
1958-02-18 18:00:00.000 049       -44.00
1958-02-18 19:00:00.000 049       -42.00
1958-02-18 20:00:00.000 049       -41.00
1958-02-18 21:00:00.000 049       -43.00
1958-02-18 22:00:00.000 049       -42.00
1958-02-18 23:00:00.000 049       -43.00
1958-02-19 00:00:00.000 050       -34.00
1958-02-19 01:00:00.000 050       -28.00
