dB_E,dB_N,dB_Z
-0.047548,1.4682,0.29168
0.0025484,1.9154,0.43469
0.059349,2.0554,0.44839
0.14651,2.1569,0.47374
0.17292,2.0824,0.39851
0.17453,2.1511,0.38269
0.18676,2.0314,0.29622
0.18743,1.8875,0.19557
0.1439,1.8018,0.13317
0.11805,1.8496,0.15326
0.099675,1.8242,0.1271
0.063717,1.774,0.10287
0.056461,1.6553,0.095128
0.033065,1.3626,0.010565
-0.024631,1.3531,0.0070565
-0.048945,1.2244,-0.052098
-0.078082,1.1489,-0.084074
-0.11853,1.1528,-0.077278
-0.13259,1.2171,-0.063318
-0.15501,1.1381,-0.10552
-0.18519,1.0226,-0.15322
-0.19896,0.94662,-0.18559
-0.18741,0.8901,-0.20102
-0.19396,0.87596,-0.21204
-0.17495,0.74366,-0.26063
-0.167,0.6896,-0.28854
-0.16733,0.76061,-0.32057
-0.21954,0.78488,-0.24726
-0.20996,0.81165,-0.21942
-0.18472,0.7311,-0.31264
-0.16281,0.80639,-0.26131
-0.12041,0.89075,-0.50338
-0.1966,0.76829,-0.3256
-0.20038,0.74603,-0.30398
-0.16638,0.60042,-0.32517
-0.16762,0.49222,-0.3257
-0.18246,0.53693,-0.34446
-0.1946,0.48601,-0.35976
-0.17058,0.51373,-0.37123
-0.16169,0.51075,-0.35492
-0.1594,0.51338,-0.3414
-0.13974,0.46972,-0.3347
-0.13513,0.38636,-0.36305
-0.15697,0.48351,-0.37311
-0.14644,0.47656,-0.34413
-0.13693,0.49968,-0.37146
-0.13334,0.46881,-0.33802
-0.1449,0.54291,-0.35063
-0.14463,0.60328,-0.34742
-0.13838,0.60345,-0.33682
-0.13357,0.55066,-0.32882
-0.11977,0.55188,-0.3228
-0.12372,0.56695,-0.3233
-0.11231,0.55767,-0.34498
-0.076772,0.46611,-0.3518
-0.060261,0.38943,-0.35648
-0.05254,0.33052,-0.36787
-0.065493,0.29581,-0.35571
-0.095843,0.40386,-0.32826
-0.08879,0.52947,-0.26194
-0.072529,0.55811,-0.27796
-0.052582,0.61155,-0.25269
-0.021678,0.49802,-0.30225
-0.041774,0.5841,-0.30684
0.0012417,0.53328,-0.31464
0.018321,0.50948,-0.31143
0.029036,0.47506,-0.30215
0.027923,0.58307,-0.27976
0.040708,0.54315,-0.28779
0.048035,0.57278,-0.29166
0.047897,0.64874,-0.29446
0.031682,0.6952,-0.28993
0.020556,0.71104,-0.2974
0.044614,0.68845,-0.28037
0.029429,0.70819,-0.27453
0.015055,0.77569,-0.36996
0.00016272,0.82781,-0.36208
0.0066756,0.88671,-0.3926
0.015512,0.7936,-0.42856
-0.0025125,0.81211,-0.40218
-0.025989,0.84303,-0.40058
-0.016107,0.85748,-0.42698
-0.0059062,0.91279,-0.37729
-0.014937,0.95148,-0.42952
-0.021911,0.95802,-0.41393
-0.066222,1.0596,-0.40243
-0.055569,1.0225,-0.37865
-0.057267,0.99529,-0.40714
-0.063173,0.99076,-0.36471
-0.082156,1.0547,-0.42682
-0.063524,1.0484,-0.42479
-0.072162,1.0942,-0.44914
-0.073561,1.0005,-0.4403
-0.082028,1.0232,-0.42449
-0.13805,1.1116,-0.47116
-0.17912,1.187,-0.47206
-0.20445,1.2036,-0.42573
-0.21092,1.1257,-0.37317
-0.19121,1.0217,-0.38481
-0.20575,1.0523,-0.40988
-0.18893,1.0604,-0.4476
-0.15092,1.0251,-0.45812
-0.11448,1.0211,-0.43018
-0.099792,0.95016,-0.4693
-0.065858,0.82927,-0.46039
-0.10069,0.94713,-0.44404
-0.1087,1.0145,-0.43664
-0.1196,1.0842,-0.38164
-0.10952,1.0465,-0.35098
-0.080375,1.0353,-0.30752
-0.093136,1.0695,-0.38259
-0.080597,1.0307,-0.36045
-0.063795,0.9936,-0.3771
-0.037759,0.99687,-0.32611
-0.021386,1.037,-0.36888
0.014238,1.0068,-0.36718
0.044035,0.94998,-0.36372
0.04755,0.93642,-0.34967
